date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:24:16	85380/85380	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:56:24%20GMT	https://templates.hibootstrap.com/jexi/default/index-2.html	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/index-2.html	(from )
22:24:20	125/125	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2025%20Jan%202025%2016:54:18%20GMT	https://templates.hibootstrap.com/robots.txt		(from )
22:24:20	1197/1197	---M--	200	added ('OK')	image/png	etag:%22663b57fa-969%22	https://templates.hibootstrap.com/jexi/default/assets/images/tab-2.png	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/assets/images/tab-2.png	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:20	232756/232756	---MCZ	200	added ('OK')	text/css	etag:W/%22663b57fa-38d34%22	https://templates.hibootstrap.com/jexi/default/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/assets/css/bootstrap.min.css	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:20	6120/6120	---MCZ	200	added ('OK')	text/css	etag:W/%22663b57fa-17e8%22	https://templates.hibootstrap.com/jexi/default/assets/css/bootstrap-reboot.min.css	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/assets/css/bootstrap-reboot.min.css	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:20	71750/71750	---MCZ	200	added ('OK')	text/css	etag:W/%22663b57fa-11846%22	https://templates.hibootstrap.com/jexi/default/assets/css/animate.min.css	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/assets/css/animate.min.css	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:21	18433/18433	---MCZ	200	added ('OK')	text/css	etag:W/%22663b57fa-4801%22	https://templates.hibootstrap.com/jexi/default/assets/css/swiper-bundle.min.css	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/assets/css/swiper-bundle.min.css	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:21	5335/5335	---MCZ	200	added ('OK')	text/css	etag:W/%22663b5bb4-14d7%22	https://templates.hibootstrap.com/jexi/default/assets/css/meanmenu.min.css	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/assets/css/meanmenu.min.css	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:21	5259/5259	---MCZ	200	added ('OK')	text/css	etag:W/%22663b57fa-148b%22	https://templates.hibootstrap.com/jexi/default/assets/css/magnific-popup.min.css	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/assets/css/magnific-popup.min.css	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:21	24939/24939	---MCZ	200	added ('OK')	text/css	etag:W/%22663b57fa-616b%22	https://templates.hibootstrap.com/jexi/default/assets/css/main.min.css	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/assets/css/main.min.css	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:22	66571/66571	---MCZ	200	added ('OK')	text/css	etag:W/%22663b57fa-1040b%22	https://templates.hibootstrap.com/jexi/default/assets/css/boxicons.min.css	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/assets/css/boxicons.min.css	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:22	4134/4134	---MCZ	200	added ('OK')	text/css	etag:W/%22663b57fa-1026%22	https://templates.hibootstrap.com/jexi/default/assets/css/flaticon.css	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/assets/css/flaticon.css	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:22	30060/30060	---MCZ	200	added ('OK')	text/css	etag:W/%22663b57fa-756c%22	https://templates.hibootstrap.com/jexi/default/assets/css/settings.css	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/assets/css/settings.css	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:22	71946/71946	---MCZ	200	added ('OK')	text/css	etag:W/%22663b5b77-1190a%22	https://templates.hibootstrap.com/jexi/default/assets/css/layers.css	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/assets/css/layers.css	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:23	34837/34837	---MCZ	200	added ('OK')	text/css	etag:W/%22663b5bdf-8815%22	https://templates.hibootstrap.com/jexi/default/assets/css/navigation.css	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/assets/css/navigation.css	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:23	177419/177419	---MCZ	200	added ('OK')	text/css	etag:W/%22663b57fa-2b50b%22	https://templates.hibootstrap.com/jexi/default/assets/css/style.css	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/assets/css/style.css	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:23	45947/45947	---MCZ	200	added ('OK')	text/css	etag:W/%22663b57fa-b37b%22	https://templates.hibootstrap.com/jexi/default/assets/css/responsive.css	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/assets/css/responsive.css	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:23	12428/12428	---MCZ	200	added ('OK')	text/css	etag:W/%22663b57fa-308c%22	https://templates.hibootstrap.com/jexi/default/assets/css/theme-dark.css	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/assets/css/theme-dark.css	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:24	98405/98405	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:56:24%20GMT	https://templates.hibootstrap.com/jexi/default/index.html	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/index.html	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:24	1752/1752	---M--	200	added ('OK')	image/png	etag:%22663b57fa-fa7%22	https://templates.hibootstrap.com/jexi/default/assets/images/logo-2.png	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/assets/images/logo-2.png	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:24	1877/1877	---M--	200	added ('OK')	image/png	etag:%22663b57fa-7f0%22	https://templates.hibootstrap.com/jexi/default/assets/images/usa.png	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/assets/images/usa.png	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:25	1577/1577	---M--	200	added ('OK')	image/png	etag:%22663b57fa-86f%22	https://templates.hibootstrap.com/jexi/default/assets/images/germany.png	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/assets/images/germany.png	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:25	948/948	---M--	200	added ('OK')	image/png	etag:%22663b57fa-3bd%22	https://templates.hibootstrap.com/jexi/default/assets/images/china.png	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/assets/images/china.png	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:25	1336/1336	---M--	200	added ('OK')	image/png	etag:%22663b57fa-538%22	https://templates.hibootstrap.com/jexi/default/assets/images/uae.png	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/assets/images/uae.png	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:26	54496/54496	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:56:24%20GMT	https://templates.hibootstrap.com/jexi/default/cart.html	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/cart.html	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:27	47975/47975	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:56:24%20GMT	https://templates.hibootstrap.com/jexi/default/wishlist.html	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/wishlist.html	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:27	51034/51034	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:56:24%20GMT	https://templates.hibootstrap.com/jexi/default/authentication.html	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/authentication.html	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:28	972/972	---M--	200	added ('OK')	image/png	etag:%22663b57fa-8bf%22	https://templates.hibootstrap.com/jexi/default/assets/images/logo-3-white.png	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/assets/images/logo-3-white.png	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:28	76457/76457	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:56:24%20GMT	https://templates.hibootstrap.com/jexi/default/index-3.html	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/index-3.html	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:29	80287/80287	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:56:24%20GMT	https://templates.hibootstrap.com/jexi/default/index-4.html	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/index-4.html	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
